entertainment n.娱乐（活动）；招待
sober adj.清醒的；冷静的；严肃的；素净的
deserve v.应得，值得
commercial adj.商业的，贸易的；获利的
means n.方式，途径；钱财
explain v.解释，说明
shrug v.耸肩
auto n.汽车
horse n.马
name n.名字，名称；名誉；名人
still adj.静止的；寂静的；无风的
presumably adv.推测起来，大概
outset n.开始，开端
quarter n.四分之一；一刻钟；季度；城镇的区；一节
grief n.悲伤；伤心事
apologise v.道歉
air n.空气；天空；感觉；神态
projector n.放映机，投影仪
heavy adj.重的；（数量、程度）比一般严重的；厚的；费力的
heroine n.女英雄；女主角
roast v.烤；严厉批评
ascribe v.把…归因于；认为是…的特点
volatile adj.易变的，不稳定的；易挥发的
facility n.场所，设施；天赋
telegraph n.电报；电报机
Friday n.星期五
gum n.口香糖；齿龈；树胶
dessert n.餐后甜点
deaf adj.聋的；不愿听的
session n.（进行某活动连续的）一段时间；（审议或立法机构的）会议
foster v.促进；鼓励；养育
cell n.细胞；小房间；手机；电池
conform v.遵守；顺从；相一致
litter n.垃圾；杂物；一窝（动物幼崽）
aboard prep.在船（或飞机、火车等）上
powerful adj.强大的；有权势的；强有力的；有感染力的
enquiry n.打听；询问；调查
clarity n.明确；清晰
rope n.绳索，线缆
tidy adj.整洁的，整齐的；爱整洁的
rob v.盗窃；抢劫；剥夺
finding n.发现；判决；调查结果
chancellor n.总理；大学校长；大臣；司法官
brass n.黄铜；铜管乐器
feudal adj.封建（制度）的
duty n.责任；义务；职责；税
passport n.护照；途径，手段
exert v.运用，施加；尽力
nest n.鸟巢，巢穴；（套叠在一起的）一套物件
throughout prep.遍及；贯穿（整个时期）
premier adj.首要的；最著名的
proud adj.骄傲的；自豪的
adolescent adj.青春期的
prince n.王子；亲王
status n.（社会）地位，身份；状况；重要地位
imagine v.假设，猜测；想象；误以为
honest adj.诚实的；正直的；坦率的
medical adj.医疗的，疾病的
ease n.容易；舒适，安逸
nucleus n.（细胞、原子）核；核心
foot n.脚，足；底部；英尺
morning n.早上
systematic adj.系统的，成体系的，有条理的
sip v.小口地喝
afternoon n.下午
cancel v.取消；废除；抵消；注销
front adj.前面的；在前的，正面的
transit n.过境，运输，中转；交通运输系统
trench n.沟渠；战壕；海沟
presume v.推测；假设；擅自
gay adj.同性恋的
map n.地图
probable adj.很可能的，大概的
navigation n.航行；导航，领航
statute n.法令；章程
continent n.洲；大陆
guarantee n.保证；保修单；保证金
acceptance n.接受；认同；承认；容忍
bean n.豆，豆荚，豆科植物
influential adj.有权势的，有影响力的
patent n.专利（权）；专利证书
ventilate v.使通风；公开表达（意见等）
spring n.春天；弹簧；泉；活力
key n.钥匙；关键；键；答案
basement n.地下室
pronoun n.代词
competitive adj.（有）竞争力的；好胜的
fun n.乐趣；嬉戏；有趣的人
porter n.搬运工人；门房；护工；列车服务员
crazy adj.疯狂的；非常气愤的；狂热的
infect v.感染；传染
shout v.大声说；叫嚷；斥责；呼喊
typist n.打字员
dwelling n.住宅，寓所
reward n.酬劳，奖赏；悬赏金
yours pron.你的；您的；你们的
clone v.无性繁殖，克隆
bacon n.咸肉，熏肉
surgeon n.外科医生
disaster n.灾难，大祸，不幸事件
opponent n.对手；竞争者；反对者
integral adj.构成整体所必需的；不可或缺的；完整的
regime n.政权；组织方法；政治制度
distribute v.分发；分配；分销；分布
crawl v.爬行；缓慢地行进；巴结
project n.工程；项目；专题研究；方案
embrace v.拥抱；欣然接受（思想等）；包括
spray n.浪花；喷雾（器）
steward n.乘务员；服务员；统筹人；管家
valuable adj.重要的；贵重的；值钱的
compassion n.同情；怜悯
doorway n.门口，门廊
butcher n.屠夫；刽子手；肉铺
sprout v.发芽，抽条；出现，涌现；长出（毛发等）
inverse adj.倒转的；反向的
bread n.面包；钱
sentiment n.情绪；观点；伤感
yawn v.打哈欠
puff n.吸气；一缕（烟、气）；一口（烟）；泡芙；喘息
slave n.奴隶；完全受…控制的人
galaxy n.星系；银河系；一群（杰出或著名的人物）
perceive v.意识到；察觉；将…视为
emit v.发出（声音或噪音）；散发（光、热、气味等）
recollect v.回忆，追想
wheat n.小麦
incur v.招致，遭受；带来（钱财损失）
success n.成功，胜利
loan v.借出
gamble v.赌博；冒风险；以…为赌注
climate n.气候；社会风气
reception n.接待区；接待会；反响；接纳；接收效果
inflation n.通货膨胀；充气
somehow adv.以某种方式；不知怎地
erroneous adj.错误的，不正确的
versus prep.与…相比；对抗
nail n.指甲，钉子
earnest adj.诚实的，真诚的
petty adj.琐碎的；小气的
sort n.种类；某种类型的人；（计算机）排序
studio n.播音室；演播室；电影公司；工作室；单间公寓
paste n.面团；肉酱；浆糊
acquaint v.使熟悉；使了解
skip v.略过；轻快蹦跳；跳绳；不参加；突然离开
beat n.敲，击；（心脏）跳动；节拍
theme n.题目，主题；（乐曲）主旋律
attain v.获得，达到
thus adv.以此方式；因此，从而
history n.历史（学）；经历
number n.数字；数量；编号
slender adj.修长的，纤细的，微薄的
initiative n.倡议；举措；主动性；首创精神
temperament n.性情，气质；喜怒无常
force n.力，力量；武力；部队
date n.日期；约会；枣
stationary adj.静止的；稳定的；不变的
refrigerator n.冰箱
fuel n.燃料；刺激因素
weak adj.虚弱的；软弱无能的；不擅长的；不能服人的
summon v.传唤；召开；召集；请求
appearance n.外观；出现；起源；公开露面
discount v.打折；认为…不重要；不全信
fraud n.欺诈罪；骗子；冒牌货
seemingly adv.表面上，看似
excitement n.兴奋，刺激；令人兴奋的事物
gravity n.严重性；地心引力
warranty n.保修单；保证
throne n.宝座；王位
mock v.嘲笑；嘲弄；不尊重
accuse v.指责；控告，控诉
any det.任何的
arrival n.到达，抵达；到达者
cold adj.冷的；冷漠的；冷色的
terror n.恐惧；令人恐惧的人（或事）；恐怖行动
avail n.益处，效用
lest conj.以免；唯恐
brutal adj.残忍的，野蛮的；直截了当的
historian n.历史学家
comparable adj.类似的，可比较的；相当的
unlike adj.不同的，不像的
hamburger n.汉堡包
enforce v.强制执行；迫使
triangle n.三角形（物）；三角关系
signify v.表示，意味着；表达；要紧
insulate v.使隔热，使隔音，使绝缘；使免受（不良影响）
huge adj.巨大的；极大的
tool n.工具；手段；受人利用的人
ruin v.毁灭；毁坏；（使）破产
surveillance n.监视；监控
insight n.洞察力，洞悉力；深刻的见解
detain v.扣留，拘押；耽搁
concede v.承认；让步；认输
heat n.热，温度；高温天气；激动状态
left adj.左边的
fee n.费用；手续费，咨询费
who pron.谁
average adj.平均的；普通的，平常的；典型的
entertain v.款待；使快乐，娱乐；心怀（想法等）
marvelous adj.极好的
apology n.道歉；表达歉意的言辞
I pron.我
hint n.暗示，提示；迹象；少许；秘诀
ultraviolet adj.紫外（线）的
beverage n.饮料
frost n.霜，霜冻；严寒
toy n.玩具，玩物
overhead adj.头顶上的；经费的
adopt v.采纳；收养；正式批准
anything pron.任何事物；随便什么事物
plagiarism n.抄袭（作品）
entrance n.入口；登场；进入权；准许加入
teach v.教，教导；使引以为戒
hear v.听见；注意听；得知；审理
appliance n.（家用）电器，器具
barbecue n.烤架；户外烧烤
cloak v.遮盖，隐藏；掩饰
regret n.遗憾，懊悔
utilize v.利用，使用
mass n.团，块；大量；群众；重量
relationship n.关系，联系；恋爱关系
hum v.哼（曲子）；活跃，忙碌
head n.头部；头脑；负责人；顶端
deny v.否认；拒绝给予
greet v.打招呼；欢迎
contempt n.轻视，轻蔑
ear n.耳朵；穗
explosion n.爆炸（声）；猛增；突然爆发
can mod. v.能，会；懂得；可以；难道会；有时会
dialect n.方言
burn v.燃烧；烧毁；晒伤；发烫；发亮
liquor n.烈性酒
council n.议会；委员会；（由当地政务委员会提供且租金有补贴的）住宅
alike adv.相同地，相似地
corridor n.走廊，过道；狭长地带
affirm v.断言；证实；给予感情支持
sausage n.香肠，腊肠
term n.术语；期限；学期；条款
motel n.汽车旅馆
heaven n.天堂；极乐之地；天空
feeble adj.虚弱的，脆弱的；无效的；不可信的
deduct v.减去，扣除
close adj.近的；接近的；亲密的
pest n.害虫
traffic n.交通；通信（量）；非法买卖
retention n.保留，保持；记忆力
echo n.回声，回音；共鸣
guild n.行会，行业协会
diverse adj.不同的，多种多样的
evil adj.邪恶的，有害的；令人讨厌的
despise v.轻视，蔑视
successful adj.成功的，有成就的
wonderful adj.精彩的；绝妙的
fireman n.消防队员
officer n.军官；官员；警官
rival n.竞争对手；可与之相比的人（或物）
scenario n.设想，可能发生的情况；剧情梗概
replace v.代替；更换；把…放回原位
poor adj.贫穷的；衰弱的；不擅长的；劣质的
bind v.捆绑；使结合；约束；装订；粘合
shave v.剃（须发）；刨，削；削减
entity n.实体，独立存在体
lap n.大腿部；跑道一圈
effort n.努力；有组织的活动
destruction n.摧毁，毁灭
bankrupt adj.破产的；缺乏…的
sew v.缝纫；缝补
make v.做；制造；引发；使得；使成为；迫使
instant adj.立即的；速溶的；方便的
shift v.转移，移动；转变；转嫁（责任）；换挡
instance n.实例，例子
dine v.吃饭，进餐
middle adj.中间的
myth n.神话；错误看法
measure v.测量；估量，判定
prosecute v.起诉
soup n.汤，羹
tap v.轻拍；开发；利用；窃听；委任
bureau n.办事处；机构；局
software n.软件
bundle n.（一）捆，包，扎；一批（同类事物）；一大笔钱
peninsula n.半岛
employ v.雇用；应用
tub n.浴缸；盆，桶；（食品）盒
distance n.距离；远处；差异；疏远
straightforward adj.简单的，易懂的；率真的
hazard n.危险，危害；隐患
site n.地点，位置；现场；旧址；网站
nurture v.养育，培养；助长
dozen n.十二，十几个，一打；（dozens of）很多
orthodox adj.正统的；东正教的
civilize v.使文明，教化
actress n.女演员
married adj.已婚的；婚姻的；全身心投入的
cherish v.珍爱；怀有；怀念
gender n.性别；（语法中）性
enormous adj.巨大的，庞大的
viable adj.切实可行的；能独立生存的
nuclear adj.核能的；核武器的
mate n.配偶；伙伴；朋友
girl n.女孩；女儿；年轻女子
shove v.猛推；乱丢
output n.生产；产量，输出（量）；输出功率
castle n.城堡；（国际象棋中）车
trace v.追溯；记述；勾画（轮廓）
feat n.功绩，壮举
than conj.比（…多或少）；与其说；（一发生某事）就
bright adj.明亮的；鲜艳的；聪明的
revolution n.革命；巨大变化；旋转
contagious adj.接触传染的；有感染力的
divert v.使分心；使绕道；改变…的用途；重新分配
rent n.租金；裂缝
influence n.影响；势力；有影响的人（或事物）
honorable adj.可敬的；品格高尚的；体面的
spectacle n.壮观的景象；（spectacles）眼镜
liver n.肝脏
manage v.设法完成；凑合生活；管理
ceremony n.典礼，仪式；礼节
college n.大学；学院；（英国）职业学校
calorie n.卡路里
alternate v.（使）交替，（使）轮流
correct adj.准确无误的；恰当的
sturdy adj.结实的；健壮的；顽强的
litre n.升
hostage n.人质
